id,text,optionS,optionI,optionC,optionD,isValidation
12,"Min kommunikationsstil er bedst beskrevet som:","Tålmodig, venlig og støttende","Entusiastisk, udadvendt og engagerende","Præcis, gennemtænkt og velargumenteret","Direkte, klar og effektiv",false
13,"Når jeg starter et nyt projekt, vil jeg naturligt:","Opbygge en stabil proces der sikrer steady fremgang","Danne et team og kickstarte med en inspirerende vision","Research grundigt og planlægge detaljeret før opstart","Identificere nøglemål og komme i gang med det samme",false
14,"Mit forhold til regler og procedurer er:","Jeg følger dem loyalt - de skaber struktur og sikkerhed","Jeg ser dem som guidelines, men fokuserer på menneskene","De er vigtige, og jeg sikrer at de følges korrekt","Jeg følger dem når de giver mening, men udfordrer dem hvis nødvendigt",false
15,"Under tidspres er min prioritet typisk:","At holde processerne kørende og undgå kaos","At holde teamet motiveret og samarbejdsvilligt","At sikre vi ikke går på kompromis med kvaliteten","At nå målene - om nødvendigt ved at tage genveje",false
16,"Når jeg arbejder alene på en opgave, er jeg bedst til at:","Arbejde støt og pålideligt gennem opgaven","Generere kreative ideer og innovative løsninger","Producere fejlfrit, velresearchet arbejde","Arbejde hurtigt og få tingene gjort",false
17,"Min naturlige arbejdsrytme kan beskrives som:","Jævnt og konsekvent med forudsigelige rutiner","Varieret og energisk med plads til spontanitet","Fokuseret og grundig med tid til detaljer","Intenst og tempofyldt med fokus på resultater",false
18,"Når jeg er mest produktiv, arbejder jeg bedst:","I et roligt, stabilt miljø uden konstante afbrydelser","I samarbejde med andre hvor vi kan sparre","Med mulighed for dyb koncentration og analyse","Med klare deadlines og udfordringer der skal løses",false
19,"Det der motiverer mig mest i mit arbejde er:","At være en pålidelig del af et team der støtter hinanden","At arbejde med mennesker og gøre en positiv forskel","At levere ekspertise og kvalitetsarbejde","At opnå konkrete resultater og nå ambitiøse mål",false
20,"Når jeg reflekterer over en god arbejdsdag, er det fordi jeg har:","Hjulpet teamet og bidraget til et harmonisk miljø","Haft gode interaktioner og inspireret andre","Løst komplekse problemer eller produceret fejlfrit arbejde","Nået mine mål og overkommet udfordringer",false
21,"Mine kolleger vil sandsynligvis beskrive mig som:","Loyal, tålmodig og støttende","Positiv, social og inspirerende","Grundig, præcis og kvalitetsbevidst","Målrettet, beslutsom og resultatorienteret",false
22,"Det der er vigtigst for mig i en lederrolle er at:","Være en stabil og pålidelig leder folk kan regne med","Skabe et positivt miljø hvor folk trives","Opretholde høje standarder og leverance af kvalitet","Drive performance og nå ambitiøse resultater",false
23,"Jeg føler mig mest værdsat når andre anerkender min:","Loyalitet, pålidelighed og støttende natur","Entusiasme, kreativitet og evne til at engagere andre","Ekspertise, præcision og grundighed","Handlekraft, resultater og lederskab",false
24,"Min definition af succes på arbejdet er primært:","At være en trofast teamplayer der bidrager til stabiliteten","At skabe positive relationer og inspirere andre","At levere fejlfrit, velundersøgt arbejde af høj kvalitet","At nå eller overgå konkrete mål og targets",false
25,"Generelt set, plejer jeg at:","Jeg arbejder ligeså godt med handling som med diskussion","Jeg er mere interesseret i diskussion end i handling","Jeg analyserer situationen før handling eller diskussion","Jeg er mere interesseret i handling end i diskussion",true
26,"Når noget går galt, er min første reaktion:","Jeg forbliver rolig og hjælper med at berolige situationen","Jeg samler folk for at håndtere det sammen","Jeg analyserer hvad der gik galt for at forhindre gentagelse","Jeg tager øjeblikkelig handling for at rette op på det",true
27,"Andre ville sige jeg er mest kendt for at være:","Aldrig uenig med nogen om noget","Altid glad og aldrig stresset","Pålidelig og aldrig begår fejl","Altid i førersædet og tager alle beslutninger alene",true
